Questions,Duplicate,Tags,Difficulty Level,duplicate,tags,difficulty_score,difficulty_level
"Imagine a database table storing student information (studentID, name, major, GPA). Write a simple SQL query to retrieve the names and majors of all students with a GPA above 3.5.",,,,False,"students gpa,studentid major,3.5,gpa,sql",3.2,Medium
What is a relational database? What are some advantages of using a relational database?,,,,False,"database,database advantages,relational database",3.0,Medium
"Can you describe one of your academic projects that involved front-end development?  Walk me through your design choices, the technologies you used, and any challenges you faced.",,,,False,"academic projects,projects,projects involved",2.5,Easy
Explain the difference between `==` and `===` in JavaScript.  Give an example.,,,,True,"javascript,difference javascript,javascript example",2.4,Easy
"What is the difference between `let`, `const`, and `var` in JavaScript?",,,,True,"var javascript,var,const var,javascript",1.7,Easy
Describe your understanding of data structures. Give examples of at least two common data structures and when you might use them.,,,,True,"data structures,structures examples,at least two,understanding data",2.5,Easy
What is the Document Object Model (DOM)? How do you interact with it using JavaScript?,,,,True,"document object,the document object model (dom,javascript,model dom",2.3,Easy
"Explain the difference between inline, internal, and external CSS stylesheets.  Which is generally preferred and why?",,,,True,"css stylesheets,css,stylesheets generally,external css",3.1,Medium
What are some common methods you would use to handle asynchronous operations in JavaScript?,,,,False,"javascript,operations javascript,asynchronous operations,handle asynchronous",2.7,Easy
"Walk me through one of your academic projects that involved front-end development.  Explain the challenges you faced, your solutions, and what you learned from the experience.",,,,False,"end development,academic projects,development",2.4,Easy
Do you have any questions for me?,,,,True,questions,1.0,Easy
Explain the difference between `==` and `===` in JavaScript (or your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript preferred",2.5,Easy
Describe the concept of a function and give an example of a function you've written in a language you are familiar with. What is the purpose of a function?,,,,False,"function,purpose function,function example",2.2,Easy
What are data types? Explain some common data types in JavaScript (or your preferred language) with examples.,,,,False,"javascript,types explain,data types,types javascript",2.7,Easy
What is the DOM and how do you interact with it using JavaScript?,,,,True,"dom interact,using javascript,dom,javascript",1.0,Easy
"Explain the difference between inline, internal, and external stylesheets in HTML. Which method is generally preferred and why?",,,,True,"stylesheets html,html,inline internal,external stylesheets",3.0,Medium
Explain the concept of a Java Bean and its conventions.,,,,False,"java bean,bean conventions,bean",2.8,Easy
Describe your understanding of responsive web design.  What are some common techniques used to achieve it?,,,,True,"responsive,understanding responsive,responsive web",2.5,Easy
"Walk me through one of your academic projects. Describe your role, the technologies used, and any challenges you faced and how you overcame them.  What was your biggest learning from this project?",,,,True,"academic projects,projects,learning project",1.6,Easy
"Explain your experience with Git.  Describe common Git commands you use (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`, `git branch`).",,,,True,"git,git commands,commit git,use git",2.0,Easy
Explain the difference between `==` and `===` in JavaScript.  Give an example.,,,,True,"javascript,difference javascript,javascript example",2.4,Easy
Describe the concept of event bubbling in JavaScript. How can you prevent it?,,,,False,"javascript,bubbling javascript,javascript prevent,event bubbling",1.3,Easy
What are the different data types in JavaScript?  Give examples of each.,,,,True,"javascript,javascript examples,data types,types javascript",1.9,Easy
"What is the difference between inline, internal, and external stylesheets in HTML/CSS?",,,,False,"difference inline,inline internal,html/css,external stylesheets",3.7,Medium
Explain the box model in CSS and how it affects element layout.,,,,False,"element layout,box model,css,explain box",3.0,Easy
"What are some common ways to handle asynchronous operations in JavaScript (e.g., fetching data from an API)?",,,,False,"asynchronous,asynchronous operations,handle asynchronous,javascript",2.3,Easy
"Can you walk me through one of your academic projects? Describe the technologies used, your role, and any challenges you faced and how you overcame them. Focus on the frontend aspects of the project.",,,,False,"walk academic,academic projects,one,projects technologies",1.8,Easy
Explain the difference between `==` and `===` in JavaScript.  Give an example.,,,,True,"javascript,difference javascript,javascript example",2.4,Easy
What is the difference between a stack and a queue data structure?  Can you give a real-world example of when you might use each?,,,,False,"queue data,stack queue,difference stack",2.2,Easy
"Describe the concept of inheritance in object-oriented programming.  Give an example using a programming language you're familiar with (e.g., JavaScript, Python).",,,,False,"javascript,concept inheritance,inheritance object,object oriented",4.4,Medium
What is the DOM (Document Object Model)? How do you interact with it using JavaScript?,,,,True,"document object,javascript,dom document",2.3,Easy
"Explain the difference between inline, internal, and external stylesheets in HTML. Which approach is generally preferred and why?",,,,True,"stylesheets html,html,inline internal,external stylesheets",3.4,Medium
"What are some common methods for handling asynchronous operations in JavaScript?  Give examples (e.g., promises, async/await).",,,,False,"javascript,handling asynchronous,promises async,asynchronous operations",3.5,Medium
"Walk me through one of your academic projects. Explain the technologies used, your role, the challenges you faced, and what you learned from the experience.",,,,True,"explain technologies,academic projects,technologies",2.0,Easy
"Describe your experience with Git.  Explain the difference between `git add`, `git commit`, and `git push`.",,,,True,"git,git push,commit git,git commit",2.9,Easy
What is a pull request (or merge request)? Why are they important in collaborative software development?,,,,False,"request merge,merge request,pull request",3.2,Medium
Do you have any questions for me?,,,,True,questions,1.0,Easy
How do you prioritize your tasks when you have multiple deadlines to meet?,,,,False,"deadlines meet,prioritize tasks,multiple deadlines",2.0,Easy
Explain the difference between `==` and `===` in JavaScript.  Give an example to illustrate.,,,,False,"javascript,difference javascript,javascript example",2.7,Easy
Describe the concept of event handling in web development.  Give an example of an event you might handle and how you would do it using JavaScript.,,,,False,"javascript,web development,event handling",2.2,Easy
What is the difference between a `for` loop and a `while` loop? When would you choose to use one over the other?,,,,True,"loop,difference loop,one,loop loop",1.0,Easy
"What is the difference between inline, internal, and external CSS stylesheets? Which one is generally preferred and why?",,,,True,"css,external css,one,stylesheets generally,inline internal",3.0,Easy
Explain the concept of responsive web design.  What techniques are used to achieve it?,,,,True,"responsive,concept responsive,responsive web",1.9,Easy
"What are some common JavaScript frameworks or libraries you are familiar with (e.g., React, Angular, Vue.js)?  (No need to go into deep detail, just mention what you know.)",,,,False,"javascript frameworks,vue.js,common javascript,javascript,angular",2.0,Easy
"Walk me through your most significant academic project. Describe your role, the technologies used, any challenges you faced, and what you learned from the experience.",,,,False,"significant academic,technologies,academic project",2.3,Easy
Do you have any questions for me?,,,,True,questions,1.0,Easy
Explain the difference between `==` and `===` in JavaScript.  Give an example.,,,,True,"javascript,difference javascript,javascript example",2.4,Easy
What are data types?  List some common data types used in JavaScript and provide an example of each.,,,,False,"javascript,types,types used,data types",1.8,Easy
"Describe the concept of an algorithm. Can you give a simple example of an algorithm (e.g., finding the largest number in a list)?",,,,True,"algorithm simple,example algorithm,algorithm",2.2,Easy
"What is the difference between HTML, CSS, and JavaScript?",,,,False,"html,css javascript,javascript,html css,difference html",1.9,Easy
Explain the concept of DOM manipulation.  How can you change the content of an HTML element using JavaScript?,,,,True,"html,javascript,dom,html element,dom manipulation",3.1,Medium
"What are some common methods for handling user events in JavaScript (e.g., clicks, mouseovers)?",,,,False,"javascript,javascript clicks,events javascript,user events",2.1,Easy
"Can you walk me through one of your academic projects that involved frontend development?  Describe your role, the technologies used, and any challenges you faced.  What did you learn from this project?",,,,True,"frontend,frontend development,one,involved frontend",1.7,Easy
"Have you used Git before?  If so, describe your experience with Git commands such as `git add`, `git commit`, `git push`, and `git pull`.",,,,True,"git,git commands,git push,commands git",2.0,Easy
Explain the difference between == and === in JavaScript.  Give an example.,,,,True,"javascript,difference javascript,javascript example",2.4,Easy
"What are the different data types you're familiar with in JavaScript, and can you give examples of each?",,,,True,"javascript,javascript examples,data types",2.2,Easy
"Describe the concept of an algorithm and give a simple example of an algorithm you've used or are familiar with (e.g., searching an array).",,,,True,"algorithm simple,example algorithm,algorithm",2.6,Easy
"What is DOM manipulation, and why is it important in front-end development? Give a simple example using JavaScript.",,,,False,"javascript,dom manipulation,dom,using javascript",3.5,Medium
Can you discuss a particularly challenging project you worked on? What were the challenges and outcomes?,,,,False,"challenging project,worked challenges,particularly challenging",2.3,Easy
"Explain the difference between HTML, CSS, and JavaScript.  What role does each play in a webpage?",,,,False,"javascript,html,css javascript,difference html",1.8,Easy
"What is Git, and how have you used it in your projects (or how would you use it)? Explain the basic Git workflow (commit, push, pull).",,,,False,"git used,git,basic git,git workflow",1.3,Easy
"Walk me through one of your academic projects that involved front-end development. Explain the technologies you used, your role, and any challenges you faced.",,,,True,"end development,academic projects,projects",2.4,Easy
Do you have any questions for me?,,,,True,questions,1.0,Easy
Explain the difference between `==` and `===` in JavaScript (or your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript preferred",2.5,Easy
"What are the differences between `let`, `const`, and `var` in JavaScript? When would you use each?",,,,True,"var javascript,var,const var,javascript",1.1,Easy
"Describe the concept of an algorithm and give a simple example of an algorithm you're familiar with (e.g., searching an array).",,,,True,"algorithm simple,example algorithm,algorithm",2.6,Easy
"What is the difference between an inline style, an internal style sheet, and an external style sheet in HTML and CSS?",,,,False,"style internal,html,inline style,external style",3.1,Medium
Explain the concept of responsiveness in web design and how you would achieve it (mention relevant CSS techniques).,,,,False,"responsiveness,web design,responsiveness web",3.2,Medium
Describe your understanding of the DOM (Document Object Model) and how JavaScript interacts with it.,,,,False,"javascript,understanding dom,dom document",3.6,Medium
"Can you walk me through a recent academic project you worked on that involved frontend development?  Describe your role, the technologies used, and any challenges you faced and how you overcame them.",,,,False,"frontend,frontend development,involved frontend",2.2,Easy
"Explain your experience with Git.  Describe common Git commands you use (e.g., `clone`, `add`, `commit`, `push`, `pull`, `branch`).",,,,False,"git,git commands,experience git",1.6,Easy
Do you have any questions for me?,,,,True,questions,1.0,Easy
Explain the difference between == and === in JavaScript.  Give an example.,,,,True,"javascript,difference javascript,javascript example",2.4,Easy
What are data types? List a few common data types used in Javascript and explain their uses with examples.,,,,False,"javascript explain,types used,data types",2.4,Easy
"Describe the concept of functions in programming.  Explain how to define and call a function in JavaScript, and provide a simple example illustrating its use.",,,,False,"javascript,function javascript,define function,functions programming",2.9,Easy
What is the DOM (Document Object Model)?  How do you interact with it using JavaScript?,,,,True,"document object,javascript,dom document",2.3,Easy
What are some common HTML tags you would use to structure a webpage? Explain their purpose with examples.,,,,False,"html,html tags,common html",2.0,Easy
"Explain the difference between inline, internal, and external CSS.  Which approach would you prefer and why?",,,,False,"difference inline,css,external css,inline internal",2.8,Easy
"Can you walk me through one of your academic projects? Describe your role, the technologies used, and any challenges you faced and how you overcame them.  What was your biggest learning from this project?",,,,True,"academic projects,projects,learning project,one",1.6,Easy
"Explain your understanding of Git and version control.  Describe the basic Git commands you've used (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`, `git branch`).",,,,True,"git,git commands,understanding git,basic git",2.5,Easy
Explain the difference between `==` and `===` in JavaScript (or your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript preferred",2.5,Easy
"What are the differences between `let`, `const`, and `var` in JavaScript? When would you use each one?",,,,True,"var javascript,var,const var,javascript",1.0,Easy
Describe a situation where you would use an array versus an object in your code. Provide a specific example.,,,,False,"array versus,object code,use array",2.7,Easy
"What is the difference between HTML, CSS, and JavaScript? What role does each play in a web page?",,,,False,"html,css javascript,javascript,html css,difference html",1.6,Easy
Explain the concept of responsive web design.  What techniques are used to achieve it?,,,,True,"responsive,concept responsive,responsive web",1.9,Easy
"Describe your experience with at least one JavaScript framework or library (e.g., React, Angular, Vue.js). If you haven't used any, what are some you're interested in learning?",,,,False,"framework library,vue.js,experience javascript,javascript,javascript framework",2.3,Easy
"Walk me through your most challenging academic project.  Describe your role, the technologies you used, and any problems you encountered and how you solved them.  What did you learn from this experience?",,,,True,"challenging academic,academic,challenging",1.8,Easy
"Explain your understanding of Git and its common commands (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`, `git branch`).",,,,True,"git,commit git,understanding git,commands git",2.2,Easy
Explain the difference between `==` and `===` in JavaScript.  Give an example.,,,,True,"javascript,difference javascript,javascript example",2.4,Easy
What is the DOM and how do you interact with it using JavaScript?,,,,True,"dom interact,using javascript,dom,javascript",1.0,Easy
Describe your understanding of HTML semantic elements and why they are important.,,,,False,"understanding html,html,semantic elements,html semantic",3.4,Medium
What are the different ways to style a web page?  Compare and contrast them.,,,,False,"ways style,style web,compare contrast",1.3,Easy
"Have you worked with any JavaScript frameworks or libraries (e.g., React, Angular, Vue)? If so, which one and what are its key features?",,,,False,"javascript frameworks,frameworks libraries,libraries react,javascript",1.6,Easy
Explain your understanding of responsive web design and how you would approach making a website responsive.,,,,True,"understanding responsive,responsive web,website responsive",3.6,Medium
What are some common tools or techniques you use for debugging JavaScript code?,,,,True,"debugging javascript,use debugging,debugging",2.0,Easy
What is your experience with version control systems like Git?  Describe a scenario where you used Git.,,,,True,"version control,like git,git scenario,git",2.8,Easy
Describe your understanding of RESTful APIs and how you might use them in a web application.,,,,False,"restful apis,apis use,apis",2.6,Easy
"Walk me through an academic project you're most proud of. What technologies did you use, and what challenges did you face?",,,,False,"proud technologies,technologies,academic project",1.0,Easy
What was your role in this project and what specific contributions did you make? What did you learn from this experience?,,,,True,"project specific,role project,contributions",1.8,Easy
How do you ensure data integrity in a database?,,,,False,"ensure data,data integrity,integrity database",2.8,Easy
"Tell me about a time you faced a challenging technical problem. How did you approach it, and what was the outcome?",,,,False,"challenging technical,technical,faced challenging",1.3,Easy
Describe your preferred work style and how you work effectively in a team environment.,,,,False,"effectively team,work style,team environment",2.9,Easy
"Why are you interested in this role, and what are your career goals?",,,,False,"role career,interested role,career",1.6,Easy
Tell me about a time you had to work with someone who had a different approach than yours. How did you navigate that situation?,,,,False,"different approach,approach did,navigate situation",1.7,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",3.0,Easy
"Describe the concept of recursion. Give a simple example of a recursive function (e.g., factorial calculation).",,,,True,"recursive function,example recursive,recursion",4.0,Medium
What is the difference between an array and a linked list?  What are the advantages and disadvantages of each?,,,,True,"array linked,list advantages,linked list",2.3,Easy
What is a relational database?  Name a few popular relational database management systems (RDBMS).,,,,True,"systems rdbms,database management,relational database",3.7,Medium
Write a simple SQL query to retrieve all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` in SQL.",,,,True,"update delete,select insert,delete sql,sql",2.6,Easy
What is Git and why is it important in software development?,,,,True,"git,git important,software development",2.4,Easy
"Describe the basic Git commands you're familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`).",,,,True,"git,git commands,git push,basic git",1.8,Easy
"What is a branch in Git, and why would you use one?",,,,False,"git,branch git,git use,branch",1.0,Easy
"Walk me through your most challenging academic project.  Explain the problem you were solving, your approach, the technologies you used, and what you learned from the experience.",,,,True,"challenging academic,challenging,academic project",2.3,Easy
"Can you explain the difference between JDK, JRE, and JVM?",,,,True,"jdk jre,jvm,difference jdk,jre,jdk",2.2,Easy
What are the main principles of Object-Oriented Programming in Java?,,,,True,"object-oriented programming,programming java,object oriented,java",4.3,Medium
What is the purpose of the 'final' keyword in Java? Provide examples.,,,,True,"purpose final,final keyword,keyword java,java",2.8,Easy
Explain the concept of inheritance and how it can be implemented in Java.,,,,False,"concept inheritance,inheritance implemented,inheritance,java",3.0,Medium
"What is multithreading in Java, and how does it differ from multiprocessing?",,,,True,"java,multithreading java,multithreading,multiprocessing",2.7,Easy
Can you discuss the Java Collections Framework? What are its major interfaces?,,,,False,"collections framework,java collections,collections",3.0,Medium
What is exception handling in Java? How can we create custom exceptions?,,,,False,"exceptions,custom exceptions,exception handling,java",3.3,Medium
Describe the different access modifiers in Java and their scopes.,,,,True,"modifiers java,java scopes,access modifiers,java",3.5,Medium
Where do you see yourself in the next five years?,,,,False,"years,the next five years",1.0,Easy
"Can you explain the difference between JDK, JRE, and JVM?",,,,True,"jdk jre,jvm,difference jdk,jre,jdk",2.2,Easy
What is the purpose of the main method in a Java application?,,,,False,"java application,method java,main method,java",2.3,Easy
Explain the concept of Object-Oriented Programming (OOP) and list its four main principles.,,,,True,"object-oriented programming,four,oriented programming,object oriented,programming oop",3.6,Medium
What is the difference between an abstract class and an interface in Java?,,,,True,"abstract class,interface java,class interface,java",2.6,Easy
What are exceptions in Java? How do you handle them?,,,,True,"exceptions java,exceptions,java",1.4,Easy
"Describe the Java Collection Framework. What are the main interfaces, and how are they different?",,,,False,"java collection,framework,collection framework",2.5,Easy
Can you explain the concept of garbage collection in Java? How does it work?,,,,True,"garbage collection,garbage,collection java,java",1.9,Easy
What is the significance of the 'final' keyword in Java?,,,,True,"significance final,final keyword,keyword java,java",2.6,Easy
"What are lambda expressions in Java, and when would you use them?",,,,False,"lambda,java,lambda expressions,expressions java",1.3,Easy
Explain the difference between '== ' and 'equals()' method in Java.,,,,True,"difference equals,equals,java,equals method",2.5,Easy
What is multithreading in Java? How do you create a thread?,,,,True,"create thread,multithreading java,multithreading,java",1.8,Easy
Can you briefly describe the Java memory model and its components?,,,,False,"memory model,java memory,java,briefly java",3.1,Medium
"What is concurrency, and how does Java handle it?",,,,False,"concurrency does,concurrency,java",2.3,Easy
What are the main features of Core Java?,,,,False,"core java,java,features core",1.9,Easy
Can you explain the concept of OOP (Object-Oriented Programming) in Java and its key principles?,,,,True,"oop object,concept oop,object oriented,java",3.8,Medium
What is the difference between an interface and an abstract class in Java?,,,,True,"interface abstract,abstract class,java,interface",2.6,Easy
How does Java achieve platform independence?,,,,True,"does java,java,platform independence",3.9,Medium
Can you describe the garbage collection process in Java?,,,,False,"garbage collection,collection process,java,process java",2.5,Easy
"What is the purpose of the 'final' keyword in Java, and how can it be used?",,,,True,"purpose final,final keyword,keyword java,java",1.5,Easy
Explain the concept of exception handling in Java. What are checked and unchecked exceptions?,,,,True,"unchecked exceptions,java,exception handling,java checked",2.9,Easy
How do you manage memory in Java? What are some common memory-related issues in Java applications?,,,,False,"memory java,manage memory,memory related,java",3.9,Medium
What is multithreading in Java and how can you achieve thread synchronization?,,,,False,"multithreading java,thread synchronization,multithreading,java",2.7,Easy
What are Java Collections Framework and its main interfaces?,,,,True,"java collections framework,collections framework,java collections,collections",3.6,Medium
"Can you explain the difference between JDK, JRE, and JVM?",,,,True,"jdk jre,jvm,difference jdk,jre,jdk",2.2,Easy
What are the main principles of Object-Oriented Programming?,,,,True,"oriented programming,object-oriented programming,main principles,object oriented",4.4,Medium
How does garbage collection work in Java? Can you name some garbage collectors?,,,,False,"garbage collection,garbage collectors,java garbage,java",2.5,Easy
"What is the 'public static void main' method in Java, and why is it important?",,,,False,"method java,static void,void main,java",1.3,Easy
Can you explain the difference between an interface and an abstract class?,,,,True,"interface abstract,abstract class,interface",2.7,Easy
What is the significance of the 'final' keyword in Java?,,,,True,"significance final,final keyword,keyword java,java",2.6,Easy
Can you explain the concept of Exception Handling and how try-catch blocks work in Java?,,,,False,"catch blocks,exception handling,handling try,java",2.8,Easy
What are generics in Java and why are they useful?,,,,False,"generics java,java useful,java,generics",1.4,Easy
What is the purpose of the 'synchronized' keyword in Java?,,,,False,"synchronized,purpose synchronized,synchronized keyword,java",2.2,Easy
Can you discuss the Java Collections Framework and its main interfaces?,,,,True,"collections framework,java collections,collections",3.1,Medium
What do you understand by Java annotations and where are they used?,,,,False,"java annotations,annotations,annotations used,java",2.0,Easy
"How do you create a thread in Java, and what is the difference between extending `Thread` class and implementing `Runnable` interface?",,,,True,"thread,runnable,java,implementing runnable,thread class",3.2,Medium
Can you explain the principles of Object-Oriented Programming and how they are implemented in Java?,,,,True,"implemented java,object-oriented programming,java,oriented programming,object oriented",3.9,Medium
What are the main differences between an interface and an abstract class in Java?,,,,True,"interface abstract,abstract class,java,interface",2.6,Easy
How does Java achieve platform independence?,,,,True,"does java,java,platform independence",3.9,Medium
What is the significance of the 'final' keyword in Java? Can you provide examples of its use?,,,,False,"final keyword,final,keyword java,java",2.3,Easy
Can you describe the Java Collections Framework and how it is beneficial in program development?,,,,False,"collections framework,java collections,collections",3.9,Medium
Explain the concept of exception handling in Java. What are checked and unchecked exceptions?,,,,True,"unchecked exceptions,java,exception handling,java checked",2.9,Easy
What are Java annotations and how are they typically used in Java applications?,,,,False,"java annotations,java,annotations,annotations typically",3.6,Medium
"How does garbage collection work in Java, and what are its benefits?",,,,False,"garbage collection,java benefits,does garbage,java",2.5,Easy
"What is the purpose of the 'this' keyword in Java, and how is it used?",,,,False,"purpose keyword,java,keyword java,java used",1.2,Easy
Can you explain the concept and use of generics in Java? How do they enhance type safety?,,,,False,"generics java,use generics,java,generics",2.3,Easy
Can you explain what a Database Management System (DBMS) is and its key functions?,,,,False,"database management,database management system,dbms,management dbms",2.4,Easy
"What are the different types of DBMS, and can you provide examples of each type?",,,,False,"dbms,dbms provide,types dbms",1.8,Easy
"How does normalization work in a database, and why is it important?",,,,False,"normalization,does normalization,normalization work",2.0,Easy
What is the difference between primary key and foreign key?,,,,True,"key foreign,primary key,foreign key",2.4,Easy
Could you describe what SQL (Structured Query Language) is and its common uses?,,,,False,"query language,structured query,structured query language,sql structured,sql",2.4,Easy
What is a transaction in the context of a DBMS? Can you explain the ACID properties?,,,,False,"transaction context,transaction,dbms explain",2.1,Easy
"What is indexing in a database, and why is it used?",,,,False,"database used,indexing,indexing database",1.0,Easy
Explain the difference between a clustered index and a non-clustered index.,,,,False,"clustered index,non clustered,difference clustered",3.3,Medium
What are stored procedures and triggers? How are they different?,,,,False,"stored procedures,procedures triggers,triggers",1.8,Easy
Can you explain the concept of a Join in SQL? What are the different types of Joins?,,,,False,"sql,joins,types joins,join sql",1.4,Easy
What are views in SQL? How do they differ from tables?,,,,False,"views sql,views,sql,sql differ",1.0,Easy
"How would you perform database backups, and why is it essential?",,,,False,"backups,backups essential,database backups",2.0,Easy
"Can you explain the difference between JDK, JRE, and JVM?",,,,True,"jdk jre,jvm,difference jdk,jre,jdk",2.2,Easy
What are the fundamental concepts of Object-Oriented Programming (OOP) in Java?,,,,False,"object-oriented programming,java,object oriented,oop java,programming oop",4.7,Medium
How does Java achieve platform independence?,,,,True,"does java,java,platform independence",3.9,Medium
What are the main differences between an interface and an abstract class in Java?,,,,True,"interface abstract,abstract class,java,interface",2.6,Easy
Can you explain Exception Handling in Java and the difference between checked and unchecked exceptions?,,,,True,"unchecked exceptions,explain exception,exception handling,java",3.5,Medium
"What are Java Collections, and can you list some commonly used collections?",,,,True,"used collections,java collections,collections",2.6,Easy
"What is a Lambda Expression in Java, and how is it used?",,,,True,"lambda,expression java,lambda expression,java",1.6,Easy
Describe the Java Memory Model and how garbage collection works.,,,,False,"garbage collection,java memory,memory model",3.8,Medium
"What is multithreading in Java, and how does it differ from multiprocessing?",,,,True,"java,multithreading java,multithreading,multiprocessing",2.7,Easy
Can you explain the concept of synchronization and its importance in Java?,,,,False,"concept synchronization,synchronization,synchronization importance,java",3.3,Medium
What are the main principles of Object-Oriented Programming in Java?,,,,True,"object-oriented programming,programming java,object oriented,java",4.3,Medium
Can you explain the difference between an interface and an abstract class in Java?,,,,True,"interface abstract,abstract class,java,interface",2.9,Easy
What is the significance of the 'final' keyword in Java? Provide examples of where it can be applied.,,,,False,"final keyword,final,keyword java,java",2.4,Easy
"How does Java handle memory management, and what are the roles of the Stack and Heap?",,,,False,"stack heap,memory management,java,handle memory",2.6,Easy
Explain exception handling in Java. What is the difference between checked and unchecked exceptions?,,,,True,"unchecked exceptions,explain exception,exception handling,java",3.2,Medium
"What are Java Collections, and can you name some common interfaces and classes in the Collections framework?",,,,False,"collections framework,classes collections,java collections,collections",3.3,Medium
"How does the 'synchronized' keyword work in Java, and what is its purpose?",,,,False,"synchronized,does synchronized,synchronized keyword,java",2.1,Easy
Can you discuss the concept of garbage collection in Java and how it impacts application performance?,,,,False,"garbage collection,java impacts,collection java,java",3.7,Medium
Describe the Java Stream API. How does it differ from traditional collection manipulation methods?,,,,False,"collection manipulation,stream api,java stream,the java stream api",4.1,Medium
"What is the Java Virtual Machine (JVM), and how does it contribute to Java's platform independence?",,,,False,"jvm,machine jvm,java,the java virtual machine,java platform",3.3,Medium
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"compilation interpretation,compiled language,interpreted language",4.7,Medium
"What is an algorithm? Can you describe a simple algorithm, like finding the largest number in a list?",,,,True,"algorithm like,algorithm simple,algorithm",1.8,Easy
"What are the basic data types you are familiar with (e.g., in Python or Java)? Explain their uses with examples.",,,,False,"java,data types,data,python,basic data",2.3,Easy
"Explain the concept of object-oriented programming (OOP) and how it is implemented in Python (mention classes, objects, methods).",,,,False,"oop implemented,python,object oriented,programming oop",4.5,Medium
What is a Python dictionary? Explain how you would access and modify values within a dictionary.,,,,False,"dictionary,python dictionary,values dictionary",2.5,Easy
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,,,,True,"students gpa,3.5,gpa,gpa greater,sql",1.8,Easy
"Describe one of your academic projects. Explain your role, the technologies used, and any challenges you faced during development.  Focus on one aspect of the project in detail – perhaps the most challenging part or the part you are most proud of.",,,,False,"projects,one,academic projects,projects explain,focus",2.4,Easy
Explain the difference between `==` and `.equals()` in Java.,,,,True,"difference equals,equals java,java,equals",2.4,Easy
What are the different data types in Java? Give examples of each.,,,,True,"types java,java examples,data types,java",2.3,Easy
What is the purpose of an array and how do you declare and initialize one in Java?,,,,False,"array,initialize java,java,array declare",2.0,Easy
"Explain the concept of object-oriented programming (OOP) and its four main principles (Encapsulation, Inheritance, Polymorphism, Abstraction).  Give a simple Java example to illustrate one principle.",,,,True,"four,one,java,oriented programming,object oriented",5.4,Medium
What is a Java exception? Explain the try-catch-finally block.,,,,False,"exception,java exception,exception explain,java",3.5,Medium
What are the differences between an interface and an abstract class in Java?,,,,True,"interface abstract,abstract class,java,interface",2.6,Easy
Explain the concept of inheritance and polymorphism in Java with examples.,,,,False,"inheritance polymorphism,java,concept inheritance,polymorphism java",4.4,Medium
What is a Collection in Java? Name a few common Collection types and their use cases.,,,,False,"collection,collection java,collection types",2.3,Easy
Describe your understanding of Generics in Java. What are their benefits?,,,,False,"generics java,java,generics,understanding generics",3.1,Medium
"Walk me through your most significant academic project involving Java. Explain the problem you solved, your approach, and the technologies used.",,,,False,"involving java,java explain,java",2.7,Easy
"What was your role in the project? What challenges did you face, and how did you overcome them?",,,,True,"project,role project,project challenges",1.0,Easy
Explain the difference between `==` and `.equals()` in Java when comparing strings.  Give an example.,,,,False,"java comparing,difference equals,equals java,java",2.5,Easy
Describe a situation where you had a conflict with a teammate. How did you resolve it?,,,,False,"situation conflict,conflict teammate,conflict",1.6,Easy
What are the different data types in Java?  Give examples of when you would use each.,,,,True,"types java,java examples,data types,java",1.8,Easy
"Describe the concept of Object-Oriented Programming (OOP) and list its four main principles (Abstraction, Encapsulation, Inheritance, Polymorphism). Give a simple example illustrating one of these principles.",,,,True,"object-oriented programming,four,one,oriented programming,object oriented",5.3,Medium
What is a collection in Java? Name at least three different collection types and when you might use each.,,,,False,"at least three,java,collection java,collection types,collection",2.0,Easy
Explain the difference between an interface and an abstract class in Java.,,,,True,"interface abstract,abstract class,java,interface",3.3,Medium
What is exception handling in Java? Explain the `try-catch` block and its purpose.,,,,False,"catch block,java explain,exception handling,java",2.5,Easy
"Can you walk me through one of your academic projects? Focus on your role, the technologies used, the challenges you faced, and what you learned from the experience.",,,,True,"academic projects,projects focus,projects,one",1.8,Easy
Explain the difference between `==` and `.equals()` in Java.  Give an example.,,,,True,"difference equals,equals java,java,equals",2.4,Easy
What are the different types of data structures you are familiar with?  Give examples of when you would use each.,,,,False,"types data,data structures,data",1.8,Easy
"Explain the concept of Object-Oriented Programming (OOP) and its four main principles (Abstraction, Encapsulation, Inheritance, Polymorphism).",,,,True,"object-oriented programming,four,oriented programming,object oriented,programming oop",6.2,Hard
Describe the difference between a compiler and an interpreter.,,,,False,"compiler interpreter,compiler,interpreter",3.8,Medium
What is the difference between an interface and an abstract class in Java?,,,,True,"interface abstract,abstract class,java,interface",2.6,Easy
